kørsler, samtidig, tid, dato, type
4, 0, 21.075, 18:24:46-03/02/20, Lokalt
4, 0, 18.063, 21:40:52-03/02/20, Lokalt
8, 0, 32.121, 18:25:40-03/02/20, Lokalt
8, 0, 27.075, 21:39:51-03/02/20, Lokalt
12, 0, 58.109, 18:26:51-03/02/20, Lokalt
12, 0, 45.107, 21:36:02-03/02/20, Lokalt
20, 0, 72.131, 21:26:38-03/02/20, Lokalt
40, 0, 131.119, 21:29:27-03/02/20, Lokalt
100, 0, 336.337, 21:47:20-03/02/20, Lokalt
8, 5, 48.995, 18:21:31-03/02/20, Cloud Run
12, 5, 66.32, 18:28:51-03/02/20, Cloud Run
20, 5, 111.249, 18:32:09-03/02/20, Cloud Run
20, 5, 106.54, 13:22:19-03/03/20, Cloud Run
20, 5, 128.73, 14:22:37-03/03/20, Cloud Run
40, 10, 116.875, 19:04:06-03/02/20, Cloud Run
100, 25, 136.796, 19:12:01-03/02/20, Cloud Run
100, 25, 142.016, 21:46:26-03/02/20, Cloud Run
100, 25, 138.477, 13:25:21-03/03/20, Cloud Run
200, 50, 141.873, 21:52:37-03/02/20, Cloud Run
300, 75, 152.537, 21:56:27-03/02/20, Cloud Run
500, 125, 160.183, 22:01:37-03/02/20, Cloud Run
2000, 500, 197.897, 22:37:33-03/02/20, Cloud Run

80, 20, 63.169, 10:54:00-07/08/20, http://nitrogen.saluton.dk:3210
